Name,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,User_Count
Dragon Ball: Origins,2008.0,0.08,0.02,0.0,0.01,0.12,15.0
Jikkyou Powerful Pro Baseball 2016,2016.0,0.0,0.0,0.12,0.0,0.12,24.0
FIFA 17,2016.0,0.0,0.11,0.0,0.01,0.12,160.0
After Hours Athletes,2011.0,0.0,0.1,0.0,0.02,0.12,24.0
UN Squadron,1991.0,0.0,0.0,0.12,0.0,0.12,24.0
Tecmo Super Bowl,1996.0,0.06,0.04,0.0,0.01,0.12,24.0
Disney Princess: Enchanting Storybooks,2011.0,0.07,0.03,0.0,0.01,0.12,24.0
Dora the Explorer: Journey to the Purple Planet,2005.0,0.09,0.02,0.0,0.0,0.12,24.0
Lunar 2: Eternal Blue,1998.0,0.0,0.0,0.12,0.0,0.12,24.0
NHL Powerplay '96,1996.0,0.06,0.04,0.0,0.01,0.12,24.0
Thousand Arms,1998.0,0.06,0.04,0.0,0.01,0.12,24.0
Arctic Thunder,2001.0,0.09,0.02,0.0,0.0,0.12,24.0
Barnyard,2006.0,0.09,0.02,0.0,0.0,0.12,24.0
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,2013.0,0.09,0.01,0.0,0.01,0.12,24.0
Stolen Song,1998.0,0.0,0.0,0.11,0.01,0.12,24.0
Armored Core: Verdict Day,2013.0,0.0,0.0,0.12,0.0,0.12,28.0
Yattaman DS: BikkuriDokkiri Daisakusen da Koron,2008.0,0.0,0.0,0.12,0.0,0.12,24.0
Madden NFL 17,2016.0,0.07,0.02,0.0,0.02,0.12,5.0
Harvey Birdman: Attorney at Law,2008.0,0.06,0.04,0.0,0.01,0.12,24.0
My Chinese Coach,2008.0,0.1,0.01,0.0,0.01,0.12,24.0
Lost in Shadow,2010.0,0.09,0.0,0.01,0.01,0.12,18.0
DEATH NOTE: Kira Game,2007.0,0.0,0.0,0.12,0.0,0.12,24.0
Legend of the Guardians: The Owls of Ga'Hoole,2010.0,0.1,0.01,0.0,0.01,0.12,24.0
Sengoku Cyber: Fujimaru Jigokuhen,1995.0,0.0,0.0,0.11,0.01,0.12,24.0
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol.10: CR Shinseiki Evangelion: Kiseki no Kachi,2007.0,0.0,0.0,0.12,0.0,0.12,24.0
ASH: Archaic Sealed Heat,2007.0,0.0,0.0,0.12,0.0,0.12,24.0
DreamWorks Super Star Kartz,2011.0,0.06,0.03,0.0,0.02,0.12,24.0
Dorabase 2: Nettou Ultra Stadium,2009.0,0.0,0.0,0.12,0.0,0.12,24.0
Where the Wild Things Are,2009.0,0.11,0.0,0.0,0.01,0.12,24.0
Center Ring Boxing,1994.0,0.0,0.0,0.12,0.0,0.12,24.0
NHL 2K3,2002.0,0.09,0.02,0.0,0.0,0.12,14.0
Die Hard: Vendetta,2002.0,0.09,0.02,0.0,0.0,0.12,10.0
F1 2002,2002.0,0.05,0.04,0.02,0.01,0.12,10.0
Every Extend Extra,2006.0,0.1,0.0,0.0,0.01,0.12,9.0
FIFA Soccer,2005.0,0.11,0.0,0.0,0.01,0.12,22.0
Cabela's North American Adventures,2010.0,0.11,0.0,0.0,0.01,0.12,24.0
Darkspore,2011.0,0.07,0.03,0.0,0.01,0.12,133.0
Self-Defense Training Camp,2011.0,0.08,0.03,0.0,0.01,0.12,25.0
Sphinx and the Cursed Mummy,2003.0,0.09,0.02,0.0,0.0,0.12,11.0
Midnight Mysteries: The Edgar Allan Poe Conspiracy,2010.0,0.08,0.03,0.0,0.01,0.12,24.0
Dynasty Warriors 8: Xtreme Legends,2013.0,0.03,0.02,0.05,0.02,0.12,24.0
GT Advance 2: Rally Racing,2001.0,0.08,0.03,0.0,0.0,0.11,4.0
Yakuza,2012.0,0.0,0.0,0.11,0.0,0.11,24.0
Karaoke Revolution Presents American Idol Encore 2,2008.0,0.11,0.0,0.0,0.01,0.11,24.0
Deception IV: Blood Ties,2014.0,0.03,0.02,0.06,0.01,0.11,27.0
DOA 2: Dead or Alive 2 Hardcore,2000.0,0.0,0.0,0.11,0.0,0.11,24.0
Tenchu: Shadow Assassins,2009.0,0.03,0.02,0.05,0.01,0.11,18.0
Fuse (Insomniac),2013.0,0.06,0.04,0.0,0.02,0.11,24.0
Cabela's Deer Hunt 2005 Season,2004.0,0.09,0.02,0.0,0.0,0.11,6.0
SplashDown,2002.0,0.09,0.02,0.0,0.0,0.11,24.0
18 Wheels of Steel: Extreme Trucker 2,2011.0,0.08,0.02,0.0,0.01,0.11,10.0
Nobunaga no Yabou: Tenshoki,1995.0,0.0,0.0,0.11,0.0,0.11,24.0
F1 Racing Championship,2000.0,0.06,0.04,0.0,0.01,0.11,24.0
Dead Man's Hand,2004.0,0.09,0.02,0.0,0.0,0.11,9.0
Smash Cars,2003.0,0.06,0.04,0.0,0.01,0.11,5.0
NASCAR 07,2006.0,0.06,0.04,0.0,0.01,0.11,16.0
Merv Griffin's Crosswords,2008.0,0.11,0.0,0.0,0.01,0.11,24.0
Tecmo Bowl: Kickoff,2008.0,0.11,0.0,0.0,0.01,0.11,8.0
Lost Horizon,2010.0,0.0,0.1,0.0,0.02,0.11,27.0
SingStar Latino,2009.0,0.11,0.0,0.0,0.01,0.11,24.0
NFL Tour,2008.0,0.1,0.01,0.0,0.01,0.11,24.0
Minute to Win It,2010.0,0.11,0.0,0.0,0.01,0.11,24.0
Rugby 15,2015.0,0.04,0.06,0.0,0.02,0.11,65.0
Jikkyou Powerful Pro Yakyuu 12 Ketteiban,2005.0,0.0,0.0,0.11,0.0,0.11,24.0
Melty Blood: Act Cadenza,2006.0,0.0,0.0,0.11,0.0,0.11,24.0
Dokapon Kingdom,2007.0,0.05,0.04,0.02,0.01,0.11,8.0
ToeJam & Earl III: Mission to Earth,2002.0,0.09,0.02,0.0,0.0,0.11,24.0
Puzzle Quest 2,2010.0,0.1,0.0,0.0,0.01,0.11,11.0
Phantasy Star Collection,2002.0,0.08,0.03,0.0,0.0,0.11,7.0
Doukoku Shoshite...,1998.0,0.0,0.0,0.11,0.0,0.11,24.0
LEGO Knights' Kingdom,2004.0,0.08,0.03,0.0,0.0,0.11,24.0
Final Fantasy III,2012.0,0.0,0.0,0.11,0.0,0.11,15.0
Taiko Drum Master: Tokumori!,2014.0,0.0,0.0,0.11,0.0,0.11,24.0
Disney Art Academy,2016.0,0.02,0.01,0.08,0.0,0.11,5.0
A Witch's Tale,2009.0,0.08,0.0,0.03,0.01,0.11,9.0
MySims SkyHeroes,2010.0,0.08,0.02,0.0,0.01,0.11,24.0
Persona 5,2016.0,0.0,0.0,0.11,0.0,0.11,24.0
Hyperdimension Neptunia U: Action Unleashed,2014.0,0.03,0.01,0.06,0.01,0.11,44.0
Retro Game Challenge,2007.0,0.0,0.0,0.11,0.0,0.11,15.0
NBA Jam 2002,2002.0,0.08,0.03,0.0,0.0,0.11,24.0
Yogi Bear: The Video Game,2010.0,0.06,0.05,0.0,0.01,0.11,24.0
Shining Force NEO,2005.0,0.06,0.04,0.0,0.01,0.11,20.0
Pocket Soccer League: Calciobit,2012.0,0.0,0.0,0.11,0.0,0.11,24.0
Army Men: Sarge's War,2004.0,0.09,0.02,0.0,0.0,0.11,24.0
Primal Rage,1994.0,0.06,0.04,0.0,0.01,0.11,24.0
FIFA Street 2,2006.0,0.09,0.02,0.0,0.0,0.11,7.0
Heart Catch PreCure! Oshare Collection,2010.0,0.0,0.0,0.11,0.0,0.11,24.0
Fantastic Four: Rise of the Silver Surfer,2007.0,0.1,0.01,0.0,0.01,0.11,16.0
Monster Madness: Battle for Suburbia,2007.0,0.1,0.0,0.0,0.01,0.11,18.0
Taito Legends,2005.0,0.06,0.04,0.0,0.01,0.11,24.0
Mechanic Master,2008.0,0.1,0.0,0.0,0.01,0.11,24.0
Tom Clancy's EndWar,2008.0,0.1,0.01,0.0,0.01,0.11,8.0
Tom Clancy's Rainbow Six: Rogue Spear,2002.0,0.08,0.03,0.0,0.0,0.11,24.0
Pac 'n Roll,2005.0,0.09,0.0,0.02,0.01,0.11,24.0
Animal Genius,2007.0,0.1,0.0,0.0,0.01,0.11,24.0
BoomBots,1999.0,0.06,0.04,0.0,0.01,0.11,24.0
NFL Head Coach 09,2008.0,0.11,0.0,0.0,0.01,0.11,28.0
Star Trek: Conquest,2008.0,0.06,0.04,0.0,0.01,0.11,10.0
Blood Drive,2010.0,0.09,0.01,0.0,0.01,0.11,10.0
World Championship Rugby,2004.0,0.06,0.04,0.0,0.01,0.11,24.0
The Price is Right: Decades,2011.0,0.11,0.0,0.0,0.01,0.11,24.0
Phantom Dust,2004.0,0.08,0.02,0.0,0.0,0.11,35.0
Vacation Isle: Beach Party,2010.0,0.08,0.02,0.0,0.01,0.11,24.0
The Walking Dead: Survival Instinct,2013.0,0.08,0.03,0.0,0.01,0.11,49.0
Shinseiki Evangelion: Koutetsu no Girlfriend,1998.0,0.0,0.0,0.11,0.01,0.11,24.0
Shin Sangoku Musou: Multi Raid 2,2010.0,0.0,0.0,0.11,0.0,0.11,24.0
Growlanser Generations,2003.0,0.06,0.04,0.0,0.01,0.11,19.0
Puyo Puyo Tetris,2014.0,0.0,0.0,0.11,0.0,0.11,24.0
Mega Man Battle Chip Challenge,2003.0,0.08,0.03,0.0,0.0,0.11,8.0
Fatal Frame: Maiden of Black Water,2014.0,0.0,0.03,0.08,0.0,0.11,226.0
Prince of Persia: Rival Swords,2007.0,0.08,0.02,0.0,0.01,0.11,19.0
Samurai Warriors 4-II,2015.0,0.0,0.0,0.11,0.0,0.11,24.0
Tom Clancy's Splinter Cell Trilogy,2011.0,0.0,0.09,0.0,0.02,0.11,24.0
The Lord of the Rings: Aragorn's Quest,2010.0,0.09,0.02,0.0,0.01,0.11,24.0
Cold Winter,2005.0,0.06,0.04,0.0,0.01,0.11,23.0
Ring of Red,2000.0,0.06,0.04,0.0,0.01,0.11,11.0
International Track & Field 2000,1999.0,0.06,0.04,0.0,0.01,0.11,24.0
Stubbs the Zombie in Rebel Without a Pulse,2005.0,0.08,0.02,0.0,0.0,0.11,16.0
Batman: Dark Tomorrow,2003.0,0.08,0.02,0.0,0.0,0.11,18.0
Girl Time,2009.0,0.11,0.0,0.0,0.01,0.11,24.0
Ping Pals,2004.0,0.1,0.0,0.0,0.01,0.11,26.0
MLB 13: The Show,2013.0,0.1,0.0,0.0,0.02,0.11,21.0
Mystery P.I. - Portrait of a Thief,2008.0,0.1,0.0,0.0,0.01,0.11,24.0
18 Wheeler: American Pro Trucker,2002.0,0.09,0.02,0.0,0.0,0.11,8.0
Naruto Ultimate Collection,2008.0,0.06,0.04,0.0,0.01,0.11,24.0
The King of Fighters '99,2000.0,0.0,0.0,0.11,0.01,0.11,39.0
Super Run For Money Tousouchuu Atsumare! Saikyou no Tousou Monotachi,2015.0,0.0,0.0,0.11,0.0,0.11,24.0
Mass Destruction,1997.0,0.06,0.04,0.0,0.01,0.11,24.0
Shinseiki Evangelion: Koutetsu no Girlfriend,1998.0,0.0,0.0,0.11,0.0,0.11,24.0
Split/Second,2010.0,0.08,0.02,0.0,0.02,0.11,15.0
Warhammer: Battle March,2008.0,0.09,0.02,0.0,0.01,0.11,20.0
Batman: Rise of Sin Tzu,2003.0,0.08,0.02,0.0,0.0,0.11,6.0
The King of Fighters XII,2009.0,0.09,0.0,0.01,0.01,0.11,33.0
Super Swing Golf Season 2,2007.0,0.08,0.0,0.03,0.01,0.11,24.0
Garfield's Fun Fest,2008.0,0.07,0.03,0.0,0.01,0.11,24.0
Queen's Blade: Spiral Chaos,2009.0,0.0,0.0,0.11,0.0,0.11,24.0
Desktop Tower Defense,2009.0,0.1,0.0,0.0,0.01,0.11,24.0
Jikkyou Powerful Pro Yakyuu '95,1994.0,0.0,0.0,0.11,0.01,0.11,24.0
Spy vs Spy,2005.0,0.08,0.02,0.0,0.0,0.11,8.0
Coraline,2009.0,0.06,0.04,0.0,0.01,0.11,6.0
Sega Touring Car Championship,1996.0,0.0,0.0,0.11,0.0,0.11,24.0
Cold Fear,2005.0,0.06,0.04,0.0,0.01,0.11,27.0
Zangeki no Reginleiv,2010.0,0.0,0.0,0.11,0.0,0.11,24.0
Zubo,2008.0,0.08,0.02,0.0,0.01,0.11,75.0
Daito Giken Koushiki Pachi-Slot Simulator: Hihouden,2006.0,0.0,0.0,0.11,0.0,0.11,24.0
My SAT Coach with The Princeton Review,2008.0,0.1,0.0,0.0,0.01,0.11,24.0
NHL Hitz 20-03,2002.0,0.08,0.02,0.0,0.0,0.11,13.0
Murakumo: Renegade Mech Pursuit,2002.0,0.04,0.01,0.06,0.0,0.11,4.0
The Hardy Boys: Treasure on the Tracks,2009.0,0.1,0.0,0.0,0.01,0.11,24.0
Gun Metal,2002.0,0.08,0.02,0.0,0.0,0.11,8.0
Funky Barn,2012.0,0.07,0.03,0.0,0.01,0.11,24.0
Transformer: Rise of the Dark Spark,2014.0,0.04,0.04,0.01,0.02,0.11,24.0
Cory in the House,2007.0,0.1,0.0,0.0,0.01,0.11,1273.0
Pro Yaky? Spirits 5,2008.0,0.0,0.0,0.11,0.0,0.11,24.0
BloodRayne,2002.0,0.09,0.02,0.0,0.0,0.11,4.0
MotoGP 14 ,2014.0,0.05,0.05,0.0,0.02,0.11,24.0
Metal Slug 4 & 5,2005.0,0.05,0.04,0.0,0.01,0.11,24.0
ECW Anarchy Rulz,1999.0,0.06,0.04,0.0,0.01,0.11,4.0
InuYasha: A Feudal Fairy Tale,2002.0,0.0,0.0,0.1,0.01,0.11,74.0
Where the Wild Things Are,2009.0,0.1,0.0,0.0,0.01,0.11,5.0
Toukiden 2,2016.0,0.0,0.0,0.11,0.0,0.11,24.0
TMNT,2007.0,0.1,0.0,0.0,0.01,0.11,12.0
J-League Winning Eleven 9: Asia Championship,2005.0,0.0,0.0,0.11,0.0,0.11,24.0
Sabrina The Teenage Witch: Potion Commotion,2002.0,0.08,0.03,0.0,0.0,0.11,6.0
Happy Feet Two,2011.0,0.08,0.02,0.0,0.01,0.11,24.0
Transformer: Rise of the Dark Spark,2014.0,0.07,0.03,0.0,0.01,0.11,24.0
Pocket Pets,2007.0,0.1,0.0,0.0,0.01,0.11,24.0
Pac-Man Pinball Advance,2005.0,0.08,0.03,0.0,0.0,0.11,24.0
Yu Yu Hakusho: Tournament Tactics,2004.0,0.08,0.03,0.0,0.0,0.11,8.0
Home Run King,2002.0,0.09,0.02,0.0,0.0,0.11,24.0
To Heart 2: Dungeon Travelers,2011.0,0.0,0.0,0.11,0.0,0.11,24.0
WWE All Stars,2011.0,0.05,0.04,0.0,0.01,0.11,5.0
MLB Power Pros,2007.0,0.0,0.0,0.11,0.0,0.11,11.0
Dementium II,2010.0,0.09,0.01,0.0,0.01,0.11,31.0
Virtua Fighter CG Portrait Series Vol.1: Sarah Bryant,1995.0,0.0,0.0,0.11,0.0,0.11,24.0
GoldenEye: Rogue Agent,2005.0,0.1,0.0,0.0,0.01,0.11,18.0
Kousoku Card Battle: Card Hero,2007.0,0.0,0.0,0.11,0.0,0.11,24.0
BlazBlue: Calamity Trigger Portable,2010.0,0.07,0.01,0.03,0.01,0.11,18.0
AirForce Delta Strike,2004.0,0.05,0.04,0.0,0.01,0.11,6.0
Tokimeki Memorial: Girl's Side 2nd Season,2008.0,0.0,0.0,0.11,0.0,0.11,24.0
Disney's Peter Pan: Return to Never Land,2002.0,0.08,0.03,0.0,0.0,0.11,24.0
Pimp My Ride,2008.0,0.1,0.0,0.0,0.01,0.11,8.0
The Fairly Odd Parents: Breakin Da Rules,2003.0,0.08,0.02,0.0,0.0,0.11,24.0
Capcom vs. SNK 2 EO,2002.0,0.09,0.02,0.0,0.0,0.11,27.0
Hot Wheels Velocity X,2002.0,0.09,0.02,0.0,0.0,0.11,5.0
Open Season,2006.0,0.1,0.0,0.0,0.01,0.11,9.0
Akiba's Trip: Undead & Undressed,2013.0,0.05,0.01,0.04,0.01,0.11,24.0
de Blob 2,2011.0,0.08,0.02,0.0,0.01,0.11,6.0
Call of Juarez: The Cartel,2011.0,0.05,0.05,0.0,0.01,0.11,126.0
Fabulous Finds,2009.0,0.1,0.0,0.0,0.01,0.11,24.0
Let's Play Garden,2010.0,0.1,0.0,0.0,0.01,0.11,24.0
EA Replay,2006.0,0.1,0.0,0.0,0.01,0.11,24.0
Contra Advance: The Alien Wars EX,2002.0,0.08,0.03,0.0,0.0,0.11,24.0
Jake Hunter Detective Story: Memories of the Past,2007.0,0.06,0.0,0.05,0.0,0.11,24.0
Escape The Museum,2009.0,0.1,0.01,0.0,0.01,0.11,24.0
LEGO Ninjago: Shadow of Ronin,2015.0,0.01,0.08,0.0,0.02,0.11,24.0
Space Chimps,2008.0,0.1,0.0,0.0,0.01,0.11,12.0
FIFA Soccer 06,2005.0,0.1,0.0,0.0,0.01,0.11,20.0
JASF: Jane's Advanced Strike Fighters,2011.0,0.07,0.03,0.0,0.01,0.11,7.0
The History Channel: Battle for the Pacific,2007.0,0.1,0.0,0.0,0.01,0.11,6.0
Army Men: RTS,2002.0,0.05,0.04,0.0,0.01,0.11,24.0
Mobile Suit Gundam: MS Sensen 0079,2007.0,0.0,0.0,0.11,0.0,0.11,24.0
Digimon Story: Cyber Sleuth,2016.0,0.0,0.1,0.0,0.02,0.11,289.0
Cloudy With a Chance of Meatballs,2009.0,0.1,0.0,0.0,0.01,0.11,4.0
The Settlers,2007.0,0.1,0.0,0.0,0.01,0.11,7.0
Stronghold,2001.0,0.0,0.09,0.0,0.02,0.11,224.0
NCIS 3D,2011.0,0.06,0.04,0.0,0.01,0.11,24.0
Shin Kamaitachi no Yoru: 11 Hitome no Suspect,2011.0,0.0,0.0,0.11,0.0,0.11,24.0
Ridge Racer Unbounded,2012.0,0.05,0.05,0.0,0.01,0.11,56.0
Family Game Night 4: The Game Show,2011.0,0.08,0.02,0.0,0.01,0.11,24.0
Mortal Kombat: Deception,2005.0,0.09,0.02,0.0,0.0,0.11,15.0
ESPN NHL Hockey,2003.0,0.08,0.02,0.0,0.0,0.11,24.0
Monster Lab,2008.0,0.05,0.04,0.0,0.01,0.11,24.0
Yard Sale Hidden Treasures: Sunnyville,2010.0,0.1,0.0,0.0,0.01,0.11,24.0
John Daly's ProStroke Golf,2010.0,0.09,0.01,0.0,0.01,0.11,8.0
XXX,2002.0,0.08,0.03,0.0,0.0,0.11,4.0
Maximum Force,1997.0,0.06,0.04,0.0,0.01,0.11,24.0
Get Up and Dance,2011.0,0.06,0.04,0.0,0.01,0.11,24.0
Truth or Lies,2010.0,0.07,0.03,0.0,0.01,0.11,6.0
Worms Forts: Under Siege,2004.0,0.05,0.04,0.0,0.01,0.11,15.0
Guitar Rock Tour,2007.0,0.1,0.0,0.0,0.01,0.11,24.0
Puzzler World 2,2010.0,0.02,0.07,0.0,0.02,0.11,24.0
Project: Snowblind,2005.0,0.08,0.02,0.0,0.0,0.11,10.0
Astro Boy: The Video Game,2009.0,0.05,0.04,0.0,0.01,0.11,4.0
Gabrielle's Ghostly Groove 3D,2011.0,0.08,0.02,0.0,0.01,0.11,9.0
Surf's Up,2007.0,0.02,0.06,0.0,0.03,0.11,24.0
Brave Story: New Traveler (US sales),2006.0,0.11,0.0,0.0,0.0,0.11,24.0
Cake Mania,2007.0,0.09,0.01,0.0,0.01,0.11,7.0
Disney's Extreme Skate Adventure,2003.0,0.08,0.02,0.0,0.0,0.11,7.0
Tales of Phantasia (PS1 & PSP Versions),2006.0,0.0,0.0,0.11,0.0,0.11,24.0
Kouchuu Ouja Mushi King: Super Collection,2007.0,0.0,0.0,0.11,0.0,0.11,24.0
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,2003.0,0.09,0.02,0.0,0.0,0.11,24.0
Nickelodeon Dance,2011.0,0.08,0.02,0.0,0.01,0.11,24.0
Pac-Man World 2,2005.0,0.08,0.03,0.0,0.0,0.11,5.0
Odama,2006.0,0.07,0.02,0.02,0.0,0.11,17.0
PriPara Mezase! Idol Grand Prix No.1!,2015.0,0.0,0.0,0.11,0.0,0.11,24.0
Karaoke Revolution Presents American Idol Encore,2008.0,0.1,0.0,0.0,0.01,0.11,6.0
Mobile Light Force 2,2002.0,0.05,0.04,0.0,0.01,0.11,24.0
Naval Ops: Warship Gunner,2003.0,0.05,0.04,0.0,0.01,0.11,23.0
Soma Bringer,2008.0,0.0,0.0,0.11,0.0,0.11,24.0
Paws & Claws Pet Vet: Australian Adventures,2009.0,0.1,0.0,0.0,0.01,0.11,24.0
Shin Sangoku Musou 6 Special,2011.0,0.0,0.0,0.11,0.0,0.11,24.0
Go! Sudoku (JP sales),2005.0,0.0,0.0,0.11,0.0,0.11,24.0
Bionicle Heroes,2006.0,0.08,0.02,0.0,0.0,0.11,5.0
The King of Fighters 2000/2001,2003.0,0.05,0.04,0.0,0.01,0.11,17.0
Valkyrie Drive: Bhikkhuni,2015.0,0.0,0.03,0.07,0.01,0.11,11.0
Top Gear Rally 2,1999.0,0.09,0.02,0.0,0.0,0.11,24.0
Chopper Attack,1997.0,0.09,0.02,0.0,0.0,0.11,24.0
Vigilante 8: 2nd Offense,2000.0,0.09,0.02,0.0,0.0,0.11,24.0
Fighting Force 64,1999.0,0.09,0.02,0.0,0.0,0.11,24.0
Lunacy,1996.0,0.0,0.0,0.11,0.0,0.11,24.0
Snowboard Kids 2,1999.0,0.09,0.02,0.0,0.0,0.11,24.0
Batman & Robin,1998.0,0.06,0.04,0.0,0.01,0.11,24.0
Tonic Trouble,1999.0,0.09,0.02,0.0,0.0,0.11,24.0
Nuclear Strike 64,1999.0,0.09,0.02,0.0,0.0,0.11,24.0
Chameleon Twist,1997.0,0.09,0.02,0.0,0.0,0.11,24.0
DualPenSports,2011.0,0.05,0.05,0.0,0.01,0.11,24.0
Grease,2010.0,0.1,0.0,0.0,0.01,0.11,24.0
The King of Fighters Collection: The Orochi Saga,2008.0,0.1,0.0,0.0,0.01,0.11,24.0
The Spiderwick Chronicles,2008.0,0.09,0.01,0.0,0.01,0.11,24.0
Bodycount,2011.0,0.05,0.05,0.0,0.02,0.11,28.0
Street Fighter Collection,1996.0,0.0,0.0,0.11,0.0,0.11,24.0
Ninja Assault,2002.0,0.05,0.04,0.0,0.01,0.11,4.0
Samurai Warriors 4,2014.0,0.0,0.0,0.11,0.0,0.11,18.0
Winter Stars,2011.0,0.05,0.05,0.0,0.01,0.11,24.0
Hasbro Family Game Night Fun Pack,2011.0,0.1,0.0,0.0,0.01,0.11,24.0
Planet 51,2009.0,0.07,0.03,0.0,0.01,0.11,24.0
GunGriffon Blaze,2000.0,0.05,0.04,0.0,0.01,0.11,24.0
Frontier Gate,2011.0,0.0,0.0,0.11,0.0,0.11,24.0
Higurashi no Naku Koro ni Matsuri,2007.0,0.0,0.0,0.11,0.0,0.11,24.0
Army Men: Soldiers of Misfortune,2008.0,0.1,0.0,0.0,0.01,0.11,24.0
Top Angler: Real Bass Fishing,2002.0,0.05,0.04,0.0,0.01,0.11,24.0
Eragon,2006.0,0.1,0.0,0.0,0.01,0.11,24.0
Breakout,1999.0,0.06,0.04,0.0,0.01,0.11,24.0
AKB48+Me,2012.0,0.0,0.0,0.11,0.0,0.11,24.0
Alias,2004.0,0.05,0.04,0.0,0.01,0.11,10.0
Sakura Taisen Hanagumi Tsuushin,1997.0,0.0,0.0,0.11,0.0,0.11,24.0
Famicom Mini: Famicom Tantei Club - Kieta Koukeisha Zenkouhen,2004.0,0.0,0.0,0.11,0.0,0.11,24.0
Calling,2009.0,0.06,0.04,0.0,0.01,0.11,16.0
Yomawari,2015.0,0.02,0.02,0.06,0.01,0.11,24.0
Night at the Museum: Battle of the Smithsonian,2009.0,0.07,0.03,0.0,0.01,0.11,8.0
Pinball Hall of Fame: The Williams Collection,2008.0,0.09,0.01,0.0,0.01,0.11,24.0
Spyborgs,2009.0,0.09,0.01,0.0,0.01,0.11,6.0
ESA Game Pack,2010.0,0.1,0.0,0.0,0.01,0.11,24.0
Outlaw Golf: Nine Holes of Christmas,2002.0,0.08,0.02,0.0,0.0,0.11,24.0
Invizimals: The Lost Tribes,2011.0,0.0,0.08,0.0,0.03,0.11,24.0
NHL Rivals 2004,2003.0,0.08,0.02,0.0,0.0,0.11,20.0
Bodycount,2011.0,0.07,0.03,0.0,0.01,0.11,73.0
X-Men: Next Dimension,2002.0,0.08,0.02,0.0,0.0,0.11,24.0
Tyco RC: Assault with a Battery,1999.0,0.06,0.04,0.0,0.01,0.11,24.0
Felony 11-79,1997.0,0.06,0.04,0.0,0.01,0.11,24.0
Machinarium,2009.0,0.0,0.09,0.0,0.02,0.11,526.0
Avatar: The Last Airbender,2006.0,0.1,0.0,0.0,0.01,0.11,10.0
Death Jr.: Root of Evil,2008.0,0.1,0.0,0.0,0.01,0.11,14.0
Classic Road,1993.0,0.0,0.0,0.11,0.0,0.11,24.0
Panzer Dragoon Saga,1997.0,0.0,0.0,0.11,0.0,0.11,24.0
Michael Phelps: Push the Limit,2011.0,0.09,0.01,0.0,0.01,0.11,6.0
Nicktoons: Unite!,2006.0,0.1,0.0,0.0,0.01,0.11,24.0
Lost in Blue,2005.0,0.07,0.02,0.02,0.01,0.11,21.0
Wasteland 2,2015.0,0.08,0.0,0.02,0.02,0.11,24.0
Smash Court Tennis 3,2007.0,0.08,0.02,0.0,0.01,0.11,24.0
Batman: Return to Arkham,2016.0,0.05,0.05,0.0,0.01,0.11,43.0
The Scorpion King: Rise of the Akkadian,2002.0,0.08,0.02,0.0,0.0,0.11,24.0
Shining Ark,2013.0,0.0,0.0,0.11,0.0,0.11,24.0
Transformers: Beast Wars Transmetals,2000.0,0.06,0.04,0.0,0.01,0.11,24.0
GiFTPiA,2008.0,0.0,0.0,0.11,0.0,0.11,24.0
My Little Sister Can't Be This Cute Portable,2012.0,0.0,0.0,0.11,0.0,0.11,24.0
Backyard NFL Football '10,2009.0,0.1,0.0,0.0,0.01,0.11,24.0
Constantine,2005.0,0.05,0.04,0.0,0.01,0.11,24.0
Charlie and the Chocolate Factory,2005.0,0.08,0.02,0.0,0.0,0.11,8.0
Dynasty Tactics 2,2003.0,0.05,0.04,0.0,0.01,0.11,13.0
Real World Golf,2005.0,0.05,0.04,0.0,0.01,0.11,4.0
Winter Heat,1996.0,0.0,0.0,0.11,0.0,0.11,24.0
Ty the Tasmanian Tiger 2: Bush Rescue,2004.0,0.08,0.02,0.0,0.0,0.11,4.0
Hole in the Wall: Deluxe Edition,2011.0,0.1,0.0,0.0,0.01,0.11,24.0
Defender,2002.0,0.08,0.02,0.0,0.0,0.11,24.0
Blazblue: Continuum Shift Extend,2011.0,0.03,0.05,0.02,0.02,0.11,97.0
4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,2005.0,0.1,0.0,0.0,0.01,0.11,24.0
Mushroom Men: Rise of the Fungi,2008.0,0.1,0.0,0.0,0.01,0.11,4.0
The Polar Express,2004.0,0.08,0.02,0.0,0.0,0.11,9.0
BMX XXX,2002.0,0.08,0.02,0.0,0.0,0.11,9.0
ATV: Quad Frenzy,2005.0,0.1,0.0,0.0,0.01,0.11,24.0
Touch Detective 2 1/2,2007.0,0.09,0.0,0.01,0.01,0.11,24.0
Animal Planet: Vet Life,2009.0,0.1,0.0,0.0,0.01,0.11,24.0
Frogger: Helmet Chaos,2005.0,0.1,0.0,0.0,0.01,0.11,5.0
Picross 3D 2,2015.0,0.0,0.0,0.11,0.0,0.11,24.0
Pimp My Ride,2006.0,0.1,0.0,0.0,0.01,0.11,29.0
Lady Sia,2001.0,0.08,0.03,0.0,0.0,0.11,24.0
Rock Band: Metal Track Pack,2009.0,0.05,0.04,0.0,0.01,0.11,24.0
Robotech: Invasion,2004.0,0.05,0.04,0.0,0.01,0.11,24.0
